Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
3.7793955	-0.315394135	2.750230865	8.565338287	9.001570044
3.7893865	-0.440683594	2.648143158	8.768914948	9.17064521
3.7993775	-0.538879395	2.511477356	8.922345886	9.284727547
3.8093685	-0.609083405	2.393672333	9.085805969	9.415546715
3.8193595	-0.608035583	2.370171204	9.263785858	9.58150026
3.8293495	-0.567020874	2.415826263	9.446406097	9.766899066
3.8393405	-0.503702545	2.558180237	9.612859955	9.960174642
3.8493315	-0.437689819	2.708916779	9.681118011	10.06249713
3.8593225	-0.49606842	2.829715576	9.566306763	9.988373201
3.8693135	-0.611628113	2.855162659	9.303004303	9.750483671
3.8793045	-0.719403992	2.845432892	8.973988495	9.441742421
3.8892955	-0.811462555	2.836750946	8.683292999	9.170888982
3.8992865	-0.830173645	2.840343475	8.437803497	8.941659085
3.9092765	-0.858764191	2.921774139	8.235723724	8.780739452
3.9192675	-0.851429443	3.031346283	8.127947845	8.716508966
3.9292585	-0.832119598	3.117417297	8.048912201	8.671545494
3.9392495	-0.793649597	3.2235466	8.028554535	8.687854758
3.9492405	-0.772992554	3.277733917	8.041427765	8.718120074
3.9592315	-0.781824188	3.312611389	8.128097534	8.811958511
3.9692225	-0.759670258	3.294499054	8.287815399	8.950905374
3.9792125	-0.756826172	3.199147339	8.41295517	9.032449515
3.9892035	-0.770597534	3.116818542	8.525072021	9.109623009
3.9991945	-0.873433685	3.027604065	8.666078796	9.221181838
4.0091855	-1.010548553	2.97087204	8.782087555	9.325896787
4.0191765	-1.116977234	2.889141998	8.881181488	9.405857975
4.0291675	-1.097966766	2.820285187	9.044940948	9.537845476
4.0391585	-0.982407074	2.821782074	9.256301422	9.726597234
4.0491485	-0.785716095	2.888393555	9.435329132	9.898767749
4.0591395	-0.590072937	3.001857605	9.539063416	10.01763775
4.0691305	-0.400567017	3.149600372	9.547146606	10.06123475
4.0791215	-0.206570435	3.293900299	9.502539368	10.05935907
4.0891125	-0.020207977	3.400029602	9.418563995	10.01348877
4.0991035	0.144449615	3.506458282	9.253906403	9.897014655
4.1090945	0.210013275	3.605252838	9.107211456	9.797104374
4.1190855	0.193248138	3.655997314	8.979526978	9.697193715
4.1290755	0.085621948	3.662284241	8.815917206	9.546729972
4.1390665	-0.115709381	3.59103241	8.68553833	9.39933394
4.1490575	-0.301024017	3.465293884	8.594527588	9.271719453
4.1590485	-0.405357056	3.363206177	8.580905914	9.225368092
4.1690395	-0.42945694	3.32069458	8.592132568	9.221506809
4.1790305	-0.370030518	3.305276642	8.595276031	9.216319565
